"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","T","Total","TOTAL","Total","2022","2022",26727025,,
"AUS","Australia","T","Total","TOTAL","Total","2023","2023",27147199,,
"AUS","Australia","T","Total","TOTAL","Total","2024","2024",27562195,,
"AUS","Australia","T","Total","TOTAL","Total","2025","2025",27970435,,
"AUS","Australia","T","Total","TOTAL","Total","2026","2026",28372315,,
"AUS","Australia","T","Total","TOTAL","Total","2027","2027",28765734,,
"AUS","Australia","T","Total","TOTAL","Total","2028","2028",29157085,,
"AUS","Australia","T","Total","TOTAL","Total","2029","2029",29545877,,
"AUS","Australia","T","Total","TOTAL","Total","2030","2030",29931725,,
"AUS","Australia","T","Total","TOTAL","Total","2031","2031",30314335,,
"AUS","Australia","T","Total","TOTAL","Total","2032","2032",30693262,,
"AUS","Australia","T","Total","TOTAL","Total","2033","2033",31068410,,
"AUS","Australia","T","Total","TOTAL","Total","2034","2034",31439821,,
"AUS","Australia","T","Total","TOTAL","Total","2035","2035",31807641,,
"AUS","Australia","T","Total","TOTAL","Total","2036","2036",32172123,,
"AUS","Australia","T","Total","TOTAL","Total","2037","2037",32533632,,
"AUS","Australia","T","Total","TOTAL","Total","2038","2038",32892495,,
"AUS","Australia","T","Total","TOTAL","Total","2039","2039",33248991,,
"AUS","Australia","T","Total","TOTAL","Total","2040","2040",33603376,,
"AUS","Australia","T","Total","TOTAL","Total","2041","2041",33955939,,
"AUS","Australia","T","Total","TOTAL","Total","2042","2042",34306863,,
"AUS","Australia","T","Total","TOTAL","Total","2043","2043",34656377,,
"AUS","Australia","T","Total","TOTAL","Total","2044","2044",35004632,,
"AUS","Australia","T","Total","TOTAL","Total","2045","2045",35351791,,
"AUT","Austria","T","Total","TOTAL","Total","2022","2022",9039449,,
"AUT","Austria","T","Total","TOTAL","Total","2023","2023",9108322,,
"AUT","Austria","T","Total","TOTAL","Total","2024","2024",9164592,,
"AUT","Austria","T","Total","TOTAL","Total","2025","2025",9192729,,
"AUT","Austria","T","Total","TOTAL","Total","2026","2026",9214056,,
"AUT","Austria","T","Total","TOTAL","Total","2027","2027",9248382,,
"AUT","Austria","T","Total","TOTAL","Total","2028","2028",9288463,,
"AUT","Austria","T","Total","TOTAL","Total","2029","2029",9326789,,
"AUT","Austria","T","Total","TOTAL","Total","2030","2030",9362956,,
"AUT","Austria","T","Total","TOTAL","Total","2031","2031",9397262,,
"AUT","Austria","T","Total","TOTAL","Total","2032","2032",9430265,,
"AUT","Austria","T","Total","TOTAL","Total","2033","2033",9461954,,
"AUT","Austria","T","Total","TOTAL","Total","2034","2034",9492456,,
"AUT","Austria","T","Total","TOTAL","Total","2035","2035",9521266,,
"AUT","Austria","T","Total","TOTAL","Total","2036","2036",9548874,,
"AUT","Austria","T","Total","TOTAL","Total","2037","2037",9576219,,
"AUT","Austria","T","Total","TOTAL","Total","2038","2038",9603055,,
