"시군구별",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전체",79046,82137,84544,86761,90710,92927,95076,97713,100241,102471,105628,107976,109937,112321,114699
"서울",23212,24400,24787,25331,27055,27465,27726,28189,28746,29378,30359,31140,32045,32704,33868
"경기",14311,14942,15739,16372,17089,17543,18105,18846,19642,20355,21210,22173,22813,23893,24515
"인천",3353,3406,3606,3739,3936,4167,4351,4469,4684,4893,5071,5130,5208,5375,5661
"부산",6191,6522,6768,6928,7152,7341,7538,7637,7735,7852,8008,8102,8219,8356,8460
"대구",4683,4768,4839,5013,5114,5195,5335,5495,5552,5721,5908,6013,6083,6192,6335
"광주",2664,2861,2993,3023,3112,3194,3292,3434,3497,3547,3658,3676,3659,3751,3783
"대전",2932,2975,3026,3180,3246,3307,3399,3455,3545,3629,3726,3680,3722,3773,3793
"울산",1332,1337,1420,1447,1499,1542,1633,1702,1729,1726,1754,1762,1789,1808,1838
"강원",2227,2316,2309,2350,2403,2477,2519,2575,2629,2661,2719,2793,2784,2778,2776
"충북",1983,2040,2110,2108,2186,2247,2314,2389,2417,2472,2529,2541,2503,2542,2525
"충남",2572,2633,2706,2684,2766,2855,2915,2995,3089,3114,3198,3244,3270,3242,3274
"전북",3050,3079,3126,3148,3279,3351,3476,3522,3598,3619,3689,3682,3680,3694,3700
"전남",2630,2678,2720,2791,2861,2887,2946,3042,3089,3086,3128,3140,3199,3172,3137
"경북",3018,3105,3197,3232,3362,3464,3433,3515,3587,3619,3662,3655,3627,3615,3590
"경남",4127,4271,4369,4468,4614,4807,4914,5221,5351,5392,5532,5619,5683,5716,5691
"제주",761,804,829,861,940,961,1021,1047,1112,1137,1175,1185,1195,1214,1229
"세종",0,0,0,86,96,124,159,180,239,270,302,441,458,496,524
